Product;Description;Depot PF OUED SMAR Bisma;RDC ALGER;RDC ANNABA;RDC EULMA;RDC ORAN;USINE DE FABRICATION
;;105 / Stock;401 / Stock;404 / Stock;402 / Stock;403 / Stock;21 / Stock
TAC-09CHSA/XA73I-OUTDOOR;Climatiseur  9000 BTU INVERTER Tropical (Mega-Tropicalisé)-OUTDOOR;0;123.0;45.0;31.0;13.0;0
TAC-12CHSA/TPH11;Climatiseur  12000  FRESH-IN INV TROP Tropical Breeze In (Mega-Tropicalisé);0;0;0;0;0;0
TAC-12CHSA/TPH11-INDOOR;Climatiseur  12000  FRESH-IN INV TROP Tropical Breeze In (Mega-Tropicalisé)-INDOOR;0;17.0;11.0;163.0;1.0;0
TAC-12CHSA/TPH11-OUTDOOR;Climatiseur  12000  FRESH-IN INV TROP Tropical Breeze In (Mega-Tropicalisé)-OUTDOOR;0;17.0;12.0;163.0;1.0;0
TAC-12CHSA/XA73I;Climatiseur  12000 BTU INVERTER Tropical (Mega-Tropicalisé);0;0;0;0;0;0
TAC-12CHSA/XA73I-INDOOR;Climatiseur  12000 BTU INVERTER Tropical (Mega-Tropicalisé)-INDOOR;0;730.0;440.0;239.0;111.0;53.0
TAC-12CHSA/XA73I-OUTDOOR;Climatiseur  12000 BTU INVERTER Tropical (Mega-Tropicalisé)-OUTDOOR;0;730.0;438.0;113.0;111.0;3.0
TAC-12CHSA/XA81;Climatiseur  12000 BTU INVERTER;0;0;0;0;0;0
TAC-12CHSA/XA81-INDOOR;Climatiseur  12000 BTU INVERTER-INDOOR;0;0;0;1.0;1.0;0
TAC-12CHSA/XA81-OUTDOOR;Climatiseur  12000 BTU INVERTER-OUTDOOR;0;0;0;1.0;1.0;0
TAC-12CHSA/XAA1;Climatiseur  12000 BTU ON/OFF;0;0;0;0;0;0
TAC-12CHSA/XAA1-INDOOR;Climatiseur  12000 BTU ON/OFF-INDOOR;0;0;0;13.0;4.0;0
TAC-12CHSA/XAA1-OUTDOOR;Climatiseur  12000 BTU ON/OFF-OUTDOOR;0;0;0;0;4.0;0
TAC-12CHSA/XAA1T;Climatiseur  12000 on/off T3 TROPICAL ;0;0;0;0;0;0
TAC-12CHSA/XAA1T-INDOOR;Climatiseur  12000 on/off T3 TROPICAL-INDOOR;65.0;11.0;0;80.0;36.0;0
TAC-12CHSA/XAA1T-OUTDOOR;Climatiseur  12000 on/off T3 TROPICAL-OUTDOOR;65.0;11.0;0;87.0;36.0;0
TAC-18CHSA/TPH11;Climatiseur  18000  FRESH-IN INV TROP Tropical Breeze In (Mega-Tropicalisé);0;0;0;0;0;0
TAC-18CHSA/TPH11-INDOOR;Climatiseur  18000  FRESH-IN INV TROP Tropical Breeze In (Mega-Tropicalisé)-INDOOR;0;41.0;6.0;338.0;5.0;449.0
TAC-18CHSA/TPH11-OUTDOOR;Climatiseur  18000  FRESH-IN INV TROP Tropical Breeze In (Mega-Tropicalisé)-OUTDOOR;0;41.0;6.0;334.0;5.0;439.0
TAC-18CHSA/XA73I;Climatiseur  18000 BTU INVERTER Tropical (Mega-Tropicalisé);0;0;0;0;0;0
